NO,NAMA_PENGGUNA,COMMENT,SENTIMEN,komen case folding,komen tokenized,komen normalized,komen stemming,komen bersih
498,@teguhperwiranegara4849,"Inti nya kalah.., yg kalah malah banyak alasan.. toh kedua nya sama² pake headguard. Sama² terbatas

Intinya menang., klo d luar ring beda crita ..hrusnya ngaku kalah terbuka dan tantang ulang d ring.",Negatif,"inti nya kalah.., yg kalah malah banyak alasan.. toh kedua nya sama² pake headguard. sama² terbatas

intinya menang., klo d luar ring beda crita ..hrusnya ngaku kalah terbuka dan tantang ulang d ring.","['inti', 'nya', 'kalah', '..', ',', 'yg', 'kalah', 'malah', 'banyak', 'alasan', '..', 'toh', 'kedua', 'nya', 'sama²', 'pake', 'headguard', '.', 'sama²', 'terbatas', 'intinya', 'menang.', ',', 'klo', 'd', 'luar', 'ring', 'beda', 'crita', '..', 'hrusnya', 'ngaku', 'kalah', 'terbuka', 'dan', 'tantang', 'ulang', 'd', 'ring', '.']","['inti', 'nya', 'kalah', 'yg', 'kalah', 'alasan', 'nya', 'pake', 'headguard', 'terbatas', 'intinya', 'klo', 'd', 'ring', 'beda', 'crita', 'hrusnya', 'ngaku', 'kalah', 'terbuka', 'tantang', 'ulang', 'd', 'ring']","['inti', 'nya', 'kalah', 'yg', 'kalah', 'alas', 'nya', 'pake', 'headguard', 'batas', 'inti', 'klo', 'd', 'ring', 'beda', 'crita', 'hrusnya', 'ngaku', 'kalah', 'buka', 'tantang', 'ulang', 'd', 'ring']",inti nya kalah yg kalah alas nya pake headguard batas inti klo d ring beda crita hrusnya ngaku kalah buka tantang ulang d ring
499,@flankboy7791,"Jefri nichol boleh kalah sama anak mami, tapi satu indonesia ga bisa di bohongi 👏",Negatif,"jefri nichol boleh kalah sama anak mami, tapi satu indonesia ga bisa di bohongi 👏","['jefri', 'nichol', 'boleh', 'kalah', 'sama', 'anak', 'mami', ',', 'tapi', 'satu', 'indonesia', 'ga', 'bisa', 'di', 'bohongi', '👏']","['jefri', 'nichol', 'kalah', 'anak', 'mami', 'indonesia', 'ga', 'bohongi']","['jefri', 'nichol', 'kalah', 'anak', 'mami', 'indonesia', 'ga', 'bohong']",jefri nichol kalah anak mami indonesia ga bohong
500,@ramdhanirama9951,Kalo si botak lawan Jefri auto bonyok,Negatif,kalo si botak lawan jefri auto bonyok,"['kalo', 'si', 'botak', 'lawan', 'jefri', 'auto', 'bonyok']","['kalo', 'si', 'botak', 'lawan', 'jefri', 'auto', 'bonyok']","['kalo', 'si', 'botak', 'lawan', 'jefri', 'auto', 'bonyok']",kalo si botak lawan jefri auto bonyok
502,@tilmandion1017,Kenapa Jefry & El tinju pakai alat penutup wajah kan yg lain tdk pakai alat penutup wajah,Negatif,kenapa jefry & el tinju pakai alat penutup wajah kan yg lain tdk pakai alat penutup wajah,"['kenapa', 'jefry', '&', 'el', 'tinju', 'pakai', 'alat', 'penutup', 'wajah', 'kan', 'yg', 'lain', 'tdk', 'pakai', 'alat', 'penutup', 'wajah']","['jefry', 'el', 'tinju', 'pakai', 'alat', 'penutup', 'wajah', 'yg', 'tdk', 'pakai', 'alat', 'penutup', 'wajah']","['jefry', 'el', 'tinju', 'pakai', 'alat', 'tutup', 'wajah', 'yg', 'tdk', 'pakai', 'alat', 'tutup', 'wajah']",jefry el tinju pakai alat tutup wajah yg tdk pakai alat tutup wajah
503,@aqsamadina7744,Jauh dr sblm event ini sudah suka El dr dlu....,Positif,jauh dr sblm event ini sudah suka el dr dlu....,"['jauh', 'dr', 'sblm', 'event', 'ini', 'sudah', 'suka', 'el', 'dr', 'dlu', '....']","['dr', 'sblm', 'event', 'suka', 'el', 'dr', 'dlu']","['dr', 'sblm', 'event', 'suka', 'el', 'dr', 'dlu']",dr sblm event suka el dr dlu
505,@ruslanruslan8986,"Seharusnya jefri yg menang,, byk lh jefri yg masuk pukulannya",Negatif,"seharusnya jefri yg menang,, byk lh jefri yg masuk pukulannya","['seharusnya', 'jefri', 'yg', 'menang', ',', ',', 'byk', 'lh', 'jefri', 'yg', 'masuk', 'pukulannya']","['jefri', 'yg', 'menang', 'byk', 'lh', 'jefri', 'yg', 'masuk', 'pukulannya']","['jefri', 'yg', 'menang', 'byk', 'lh', 'jefri', 'yg', 'masuk', 'pukul']",jefri yg menang byk lh jefri yg masuk pukul
506,@user-so1sw4jg3o,el memekkkkkkk,Negatif,el memekkkkkkk,"['el', 'memekkkkkkk']","['el', 'memekkkkkkk']","['el', 'memekkkkkkk']",el memekkkkkkk
507,@whensy6005,"ini keren ni 
anak muda yg beraninya main di ring tinju ga kaya si anak sampah bawa bawa parang di jalanan para pengecut
ini tonton buka mata Lo lebar lebar 
keren ni
jgn berani keroyokan kaya belatung nangka",Positif,"ini keren ni 
anak muda yg beraninya main di ring tinju ga kaya si anak sampah bawa bawa parang di jalanan para pengecut
ini tonton buka mata lo lebar lebar 
keren ni
jgn berani keroyokan kaya belatung nangka","['ini', 'keren', 'ni', 'anak', 'muda', 'yg', 'beraninya', 'main', 'di', 'ring', 'tinju', 'ga', 'kaya', 'si', 'anak', 'sampah', 'bawa', 'bawa', 'parang', 'di', 'jalanan', 'para', 'pengecut', 'ini', 'tonton', 'buka', 'mata', 'lo', 'lebar', 'lebar', 'keren', 'ni', 'jgn', 'berani', 'keroyokan', 'kaya', 'belatung', 'nangka']","['keren', 'ni', 'anak', 'muda', 'yg', 'beraninya', 'main', 'ring', 'tinju', 'ga', 'kaya', 'si', 'anak', 'sampah', 'bawa', 'bawa', 'parang', 'jalanan', 'pengecut', 'tonton', 'buka', 'mata', 'lo', 'lebar', 'lebar', 'keren', 'ni', 'jgn', 'berani', 'keroyokan', 'kaya', 'belatung', 'nangka']","['keren', 'ni', 'anak', 'muda', 'yg', 'berani', 'main', 'ring', 'tinju', 'ga', 'kaya', 'si', 'anak', 'sampah', 'bawa', 'bawa', 'parang', 'jalan', 'kecut', 'tonton', 'buka', 'mata', 'lo', 'lebar', 'lebar', 'keren', 'ni', 'jgn', 'berani', 'keroyokan', 'kaya', 'belatung', 'nangka']",keren ni anak muda yg berani main ring tinju ga kaya si anak sampah bawa bawa parang jalan kecut tonton buka mata lo lebar lebar keren ni jgn berani keroyokan kaya belatung nangka
510,@soeshiro,kok gw malah ngakak ya wkwk,Positif,kok gw malah ngakak ya wkwk,"['kok', 'gw', 'malah', 'ngakak', 'ya', 'wkwk']","['gw', 'ngakak', 'ya', 'wkwk']","['gw', 'ngakak', 'ya', 'wkwk']",gw ngakak ya wkwk
511,@emmuchlasofficial,"All in El, mental juara sih, congrats El Rumi utk kemenangannya,  selamat sudah koleksi 2 sabuk juara 👏🏆",Positif,"all in el, mental juara sih, congrats el rumi utk kemenangannya,  selamat sudah koleksi 2 sabuk juara 👏🏆","['all', 'in', 'el', ',', 'mental', 'juara', 'sih', ',', 'congrats', 'el', 'rumi', 'utk', 'kemenangannya', ',', 'selamat', 'sudah', 'koleksi', '2', 'sabuk', 'juara', '👏🏆']","['all', 'in', 'el', 'mental', 'juara', 'sih', 'congrats', 'el', 'rumi', 'utk', 'kemenangannya', 'selamat', 'koleksi', 'sabuk', 'juara']","['all', 'in', 'el', 'mental', 'juara', 'sih', 'congrats', 'el', 'rumi', 'utk', 'menang', 'selamat', 'koleksi', 'sabuk', 'juara']",all in el mental juara sih congrats el rumi utk menang selamat koleksi sabuk juara
512,@asianseabass7755,"Emang layak menang si  El, Jef banyak pukul angin",Positif,"emang layak menang si  el, jef banyak pukul angin","['emang', 'layak', 'menang', 'si', 'el', ',', 'jef', 'banyak', 'pukul', 'angin']","['emang', 'layak', 'menang', 'si', 'el', 'jef', 'angin']","['emang', 'layak', 'menang', 'si', 'el', 'jef', 'angin']",emang layak menang si el jef angin
513,@shezukajajan,Sukses selalu❤,Positif,sukses selalu❤,"['sukses', 'selalu❤']",['sukses'],['sukses'],sukses
514,@yuyukangkang9373,Jefri Cuman Nafsu ga paham Point Point dalam bertinju😂,Negatif,jefri cuman nafsu ga paham point point dalam bertinju😂,"['jefri', 'cuman', 'nafsu', 'ga', 'paham', 'point', 'point', 'dalam', 'bertinju😂']","['jefri', 'cuman', 'nafsu', 'ga', 'paham', 'point', 'point']","['jefri', 'cuman', 'nafsu', 'ga', 'paham', 'point', 'point']",jefri cuman nafsu ga paham point point
516,@beritakita9538,yang nyiram air tulul kebanyakan,Negatif,yang nyiram air tulul kebanyakan,"['yang', 'nyiram', 'air', 'tulul', 'kebanyakan']","['nyiram', 'air', 'tulul', 'kebanyakan']","['nyiram', 'air', 'tulul', 'banyak']",nyiram air tulul banyak
519,@mr.wowwooo6063,Itu kkje ngapain sih heboh banget😂😂 biara kenapa lu kek gtu tayy😂😂,Negatif,itu kkje ngapain sih heboh banget😂😂 biara kenapa lu kek gtu tayy😂😂,"['itu', 'kkje', 'ngapain', 'sih', 'heboh', 'banget😂😂', 'biara', 'kenapa', 'lu', 'kek', 'gtu', 'tayy😂😂']","['kkje', 'ngapain', 'sih', 'heboh', 'biara', 'lu', 'kek', 'gtu']","['kkje', 'ngapain', 'sih', 'heboh', 'biara', 'lu', 'kek', 'gtu']",kkje ngapain sih heboh biara lu kek gtu
520,@user-pp6nb4ii1c,Jelas jefri menang lah....tai....rumi jatuh bukan jatuh sendiri tuh pukulan masuk,Negatif,jelas jefri menang lah....tai....rumi jatuh bukan jatuh sendiri tuh pukulan masuk,"['jelas', 'jefri', 'menang', 'lah', '....', 'tai', '....', 'rumi', 'jatuh', 'bukan', 'jatuh', 'sendiri', 'tuh', 'pukulan', 'masuk']","['jefri', 'menang', 'tai', 'rumi', 'jatuh', 'jatuh', 'tuh', 'pukulan', 'masuk']","['jefri', 'menang', 'tai', 'rumi', 'jatuh', 'jatuh', 'tuh', 'pukul', 'masuk']",jefri menang tai rumi jatuh jatuh tuh pukul masuk
521,@user-pp6nb4ii1c,Memalukan woi....inipah indonesia banyak gak beresnya,Negatif,memalukan woi....inipah indonesia banyak gak beresnya,"['memalukan', 'woi', '....', 'inipah', 'indonesia', 'banyak', 'gak', 'beresnya']","['memalukan', 'woi', 'inipah', 'indonesia', 'gak', 'beresnya']","['malu', 'woi', 'inipah', 'indonesia', 'gak', 'beres']",malu woi inipah indonesia gak beres
523,@user-nh1bx3eb4s,"Disini jelas lu punya uang,lu punya kuasa",Negatif,"disini jelas lu punya uang,lu punya kuasa","['disini', 'jelas', 'lu', 'punya', 'uang', ',', 'lu', 'punya', 'kuasa']","['lu', 'uang', 'lu', 'kuasa']","['lu', 'uang', 'lu', 'kuasa']",lu uang lu kuasa
524,@ahmadthareq4120,"haha pukul sana sini, tinju kana kiri eeee tak taunya kalah juga😅 operdosis drama si😅😅😅😅😅😂 
mana ni suara kaum hawa😂😂😂",Negatif,"haha pukul sana sini, tinju kana kiri eeee tak taunya kalah juga😅 operdosis drama si😅😅😅😅😅😂 
mana ni suara kaum hawa😂😂😂","['haha', 'pukul', 'sana', 'sini', ',', 'tinju', 'kana', 'kiri', 'eeee', 'tak', 'taunya', 'kalah', 'juga😅', 'operdosis', 'drama', 'si😅😅😅😅😅😂', 'mana', 'ni', 'suara', 'kaum', 'hawa😂😂😂']","['haha', 'tinju', 'kana', 'kiri', 'eeee', 'taunya', 'kalah', 'operdosis', 'drama', 'ni', 'suara', 'kaum']","['haha', 'tinju', 'kana', 'kiri', 'eeee', 'tau', 'kalah', 'operdosis', 'drama', 'ni', 'suara', 'kaum']",haha tinju kana kiri eeee tau kalah operdosis drama ni suara kaum
525,@fathirgemilang8457,Letoy,Negatif,letoy,['letoy'],['letoy'],['letoy'],letoy
526,@Derry92510,"Saya penggemar tinju... 
Ini Hasil yg aneh..😅
Apa uang yg bicara??",Negatif,"saya penggemar tinju... 
ini hasil yg aneh..😅
apa uang yg bicara??","['saya', 'penggemar', 'tinju', '...', 'ini', 'hasil', 'yg', 'aneh', '..', '😅', 'apa', 'uang', 'yg', 'bicara', '?', '?']","['penggemar', 'tinju', 'hasil', 'yg', 'aneh', 'uang', 'yg', 'bicara']","['gemar', 'tinju', 'hasil', 'yg', 'aneh', 'uang', 'yg', 'bicara']",gemar tinju hasil yg aneh uang yg bicara
527,@khaechannel7280,"Coba mana yang bilang Jefri menang di mata Indonesia itu😂😂😂 matamu aja ya g picek, pukulan mis trus gmn mau di hitung poin, ingusan ngk paham tinju tolong diam aja 😂",Negatif,"coba mana yang bilang jefri menang di mata indonesia itu😂😂😂 matamu aja ya g picek, pukulan mis trus gmn mau di hitung poin, ingusan ngk paham tinju tolong diam aja 😂","['coba', 'mana', 'yang', 'bilang', 'jefri', 'menang', 'di', 'mata', 'indonesia', 'itu😂😂😂', 'matamu', 'aja', 'ya', 'g', 'picek', ',', 'pukulan', 'mis', 'trus', 'gmn', 'mau', 'di', 'hitung', 'poin', ',', 'ingusan', 'ngk', 'paham', 'tinju', 'tolong', 'diam', 'aja', '😂']","['coba', 'bilang', 'jefri', 'menang', 'mata', 'indonesia', 'matamu', 'aja', 'ya', 'g', 'picek', 'pukulan', 'mis', 'trus', 'gmn', 'hitung', 'poin', 'ingusan', 'ngk', 'paham', 'tinju', 'tolong', 'diam', 'aja']","['coba', 'bilang', 'jefri', 'menang', 'mata', 'indonesia', 'mata', 'aja', 'ya', 'g', 'picek', 'pukul', 'mis', 'trus', 'gmn', 'hitung', 'poin', 'ingus', 'ngk', 'paham', 'tinju', 'tolong', 'diam', 'aja']",coba bilang jefri menang mata indonesia mata aja ya g picek pukul mis trus gmn hitung poin ingus ngk paham tinju tolong diam aja
528,@khaechannel7280,"Sklian sama promotor itu aja 5 match tanding. Jngn cuman bisa bilang 5match"" saja",Negatif,"sklian sama promotor itu aja 5 match tanding. jngn cuman bisa bilang 5match"" saja","['sklian', 'sama', 'promotor', 'itu', 'aja', '5', 'match', 'tanding', '.', 'jngn', 'cuman', 'bisa', 'bilang', '5match', ""''"", 'saja']","['sklian', 'promotor', 'aja', 'match', 'tanding', 'jngn', 'cuman', 'bilang']","['sklian', 'promotor', 'aja', 'match', 'tanding', 'jngn', 'cuman', 'bilang']",sklian promotor aja match tanding jngn cuman bilang
529,@shbrnptri4638,"Njir aku liat el pas istirahat round 2, ngakak itu yg nyemprot air mineral ke wajahnya juga kaget keknya 😂😂😂 37.50",Positif,"njir aku liat el pas istirahat round 2, ngakak itu yg nyemprot air mineral ke wajahnya juga kaget keknya 😂😂😂 37.50","['njir', 'aku', 'liat', 'el', 'pas', 'istirahat', 'round', '2', ',', 'ngakak', 'itu', 'yg', 'nyemprot', 'air', 'mineral', 'ke', 'wajahnya', 'juga', 'kaget', 'keknya', '😂😂😂', '37.50']","['njir', 'liat', 'el', 'pas', 'istirahat', 'round', 'ngakak', 'yg', 'nyemprot', 'air', 'mineral', 'wajahnya', 'kaget', 'keknya']","['njir', 'liat', 'el', 'pas', 'istirahat', 'round', 'ngakak', 'yg', 'nyemprot', 'air', 'mineral', 'wajah', 'kaget', 'kek']",njir liat el pas istirahat round ngakak yg nyemprot air mineral wajah kaget kek
530,@bjdkipli2011,Maklum konoha😊😂,Positif,maklum konoha😊😂,"['maklum', 'konoha😊😂']",['maklum'],['maklum'],maklum
532,@pipitsyafitriaulfa2887,El dan jefri mantap,Positif,el dan jefri mantap,"['el', 'dan', 'jefri', 'mantap']","['el', 'jefri', 'mantap']","['el', 'jefri', 'mantap']",el jefri mantap
533,@penyningsih5881,"El the best si smua ronde,, good job, El the winneeeeeeerrr",Positif,"el the best si smua ronde,, good job, el the winneeeeeeerrr","['el', 'the', 'best', 'si', 'smua', 'ronde', ',', ',', 'good', 'job', ',', 'el', 'the', 'winneeeeeeerrr']","['el', 'the', 'best', 'si', 'smua', 'ronde', 'good', 'job', 'el', 'the', 'winneeeeeeerrr']","['el', 'the', 'best', 'si', 'smua', 'ronde', 'good', 'job', 'el', 'the', 'winneeeeeeerrr']",el the best si smua ronde good job el the winneeeeeeerrr
534,@mahendra6827,Loe punya Uang loe punya Kuasa😂,Negatif,loe punya uang loe punya kuasa😂,"['loe', 'punya', 'uang', 'loe', 'punya', 'kuasa😂']","['loe', 'uang', 'loe']","['loe', 'uang', 'loe']",loe uang loe
535,@user-oo6zs4es1u,Ronde 2 sama 4 pukulan El banyak banget masuk,Positif,ronde 2 sama 4 pukulan el banyak banget masuk,"['ronde', '2', 'sama', '4', 'pukulan', 'el', 'banyak', 'banget', 'masuk']","['ronde', 'pukulan', 'el', 'banget', 'masuk']","['ronde', 'pukul', 'el', 'banget', 'masuk']",ronde pukul el banget masuk
536,@subhannawawi9170,"Jagoan gue kalah , sekali lagi Cok biar puas lagi tandingnya.",Negatif,"jagoan gue kalah , sekali lagi cok biar puas lagi tandingnya.","['jagoan', 'gue', 'kalah', ',', 'sekali', 'lagi', 'cok', 'biar', 'puas', 'lagi', 'tandingnya', '.']","['jagoan', 'gue', 'kalah', 'cok', 'biar', 'puas', 'tandingnya']","['jago', 'gue', 'kalah', 'cok', 'biar', 'puas', 'tanding']",jago gue kalah cok biar puas tanding
537,@yanahmarkonah496,"menurutku harusnya yg menang jefri nichol sih, lebih banyak pukulan nya",Negatif,"menurutku harusnya yg menang jefri nichol sih, lebih banyak pukulan nya","['menurutku', 'harusnya', 'yg', 'menang', 'jefri', 'nichol', 'sih', ',', 'lebih', 'banyak', 'pukulan', 'nya']","['menurutku', 'yg', 'menang', 'jefri', 'nichol', 'sih', 'pukulan', 'nya']","['turut', 'yg', 'menang', 'jefri', 'nichol', 'sih', 'pukul', 'nya']",turut yg menang jefri nichol sih pukul nya
538,@ernezkolaka,😂😂😂sy ulang terus ... itu jatuh karna kena pukul..d mananya terpeleset...wasit indonesia😂😂😂,Negatif,😂😂😂sy ulang terus ... itu jatuh karna kena pukul..d mananya terpeleset...wasit indonesia😂😂😂,"['😂😂😂sy', 'ulang', 'terus', '...', 'itu', 'jatuh', 'karna', 'kena', 'pukul', '..', 'd', 'mananya', 'terpeleset', '...', 'wasit', 'indonesia😂😂😂']","['ulang', 'jatuh', 'karna', 'kena', 'd', 'mananya', 'terpeleset', 'wasit']","['ulang', 'jatuh', 'karna', 'kena', 'd', 'mana', 'peleset', 'wasit']",ulang jatuh karna kena d mana peleset wasit
539,@nuraenikomalasari6592,Semuwah orang tu tau bang sehrus yh jpri nikol yg menang juri yh di bayar yh jadi situ yg menang,Negatif,semuwah orang tu tau bang sehrus yh jpri nikol yg menang juri yh di bayar yh jadi situ yg menang,"['semuwah', 'orang', 'tu', 'tau', 'bang', 'sehrus', 'yh', 'jpri', 'nikol', 'yg', 'menang', 'juri', 'yh', 'di', 'bayar', 'yh', 'jadi', 'situ', 'yg', 'menang']","['semuwah', 'orang', 'tu', 'tau', 'bang', 'sehrus', 'yh', 'jpri', 'nikol', 'yg', 'menang', 'juri', 'yh', 'bayar', 'yh', 'situ', 'yg', 'menang']","['semuwah', 'orang', 'tu', 'tau', 'bang', 'sehrus', 'yh', 'jpri', 'nikol', 'yg', 'menang', 'juri', 'yh', 'bayar', 'yh', 'situ', 'yg', 'menang']",semuwah orang tu tau bang sehrus yh jpri nikol yg menang juri yh bayar yh situ yg menang
540,@nuraenikomalasari6592,Bang lu harus mau Rimet lagi  temen wh ga trima  krna ini ga adil,Negatif,bang lu harus mau rimet lagi  temen wh ga trima  krna ini ga adil,"['bang', 'lu', 'harus', 'mau', 'rimet', 'lagi', 'temen', 'wh', 'ga', 'trima', 'krna', 'ini', 'ga', 'adil']","['bang', 'lu', 'rimet', 'temen', 'wh', 'ga', 'trima', 'krna', 'ga', 'adil']","['bang', 'lu', 'rimet', 'temen', 'wh', 'ga', 'trima', 'krna', 'ga', 'adil']",bang lu rimet temen wh ga trima krna ga adil
541,@makelarbatuakik9891,"Simpel aja sebenarnya,, pukulan Jefry memang sangat kuat dan hampir meng KO EL rumy di ronde2 awal,, tetapi pertanyaan nya EL Rumy KO atau tidak??? jawaban nya TIDAK,,, EL Rumy TIDAK KO... 😁 
Sebaliknya, Jefry nichol di ronde2 akhir dipukuli El rumy tidak??? IYA, Jefry nichol di ronde akhir dipukuli EL Rumy dan juga hampir KO,, jadi.. Pemenang sejati ya sangat tepat EL Rumy.. Dia mampu bertahan dlm gempuran Jefry yg brutal dan mampu mebalikkan keadaan dgn menggempur Jefry habis2 an di akhir ronde.. Keputusan tiga juri sudah sangat tepat.. 👍",Positif,"simpel aja sebenarnya,, pukulan jefry memang sangat kuat dan hampir meng ko el rumy di ronde2 awal,, tetapi pertanyaan nya el rumy ko atau tidak??? jawaban nya tidak,,, el rumy tidak ko... 😁 
sebaliknya, jefry nichol di ronde2 akhir dipukuli el rumy tidak??? iya, jefry nichol di ronde akhir dipukuli el rumy dan juga hampir ko,, jadi.. pemenang sejati ya sangat tepat el rumy.. dia mampu bertahan dlm gempuran jefry yg brutal dan mampu mebalikkan keadaan dgn menggempur jefry habis2 an di akhir ronde.. keputusan tiga juri sudah sangat tepat.. 👍","['simpel', 'aja', 'sebenarnya', ',', ',', 'pukulan', 'jefry', 'memang', 'sangat', 'kuat', 'dan', 'hampir', 'meng', 'ko', 'el', 'rumy', 'di', 'ronde2', 'awal', ',', ',', 'tetapi', 'pertanyaan', 'nya', 'el', 'rumy', 'ko', 'atau', 'tidak', '?', '?', '?', 'jawaban', 'nya', 'tidak', ',', ',', ',', 'el', 'rumy', 'tidak', 'ko', '...', '😁', 'sebaliknya', ',', 'jefry', 'nichol', 'di', 'ronde2', 'akhir', 'dipukuli', 'el', 'rumy', 'tidak', '?', '?', '?', 'iya', ',', 'jefry', 'nichol', 'di', 'ronde', 'akhir', 'dipukuli', 'el', 'rumy', 'dan', 'juga', 'hampir', 'ko', ',', ',', 'jadi', '..', 'pemenang', 'sejati', 'ya', 'sangat', 'tepat', 'el', 'rumy', '..', 'dia', 'mampu', 'bertahan', 'dlm', 'gempuran', 'jefry', 'yg', 'brutal', 'dan', 'mampu', 'mebalikkan', 'keadaan', 'dgn', 'menggempur', 'jefry', 'habis2', 'an', 'di', 'akhir', 'ronde', '..', 'keputusan', 'tiga', 'juri', 'sudah', 'sangat', 'tepat', '..', '👍']","['simpel', 'aja', 'pukulan', 'jefry', 'kuat', 'meng', 'ko', 'el', 'rumy', 'nya', 'el', 'rumy', 'ko', 'nya', 'el', 'rumy', 'ko', 'jefry', 'nichol', 'dipukuli', 'el', 'rumy', 'iya', 'jefry', 'nichol', 'ronde', 'dipukuli', 'el', 'rumy', 'ko', 'pemenang', 'sejati', 'ya', 'el', 'rumy', 'bertahan', 'dlm', 'gempuran', 'jefry', 'yg', 'brutal', 'mebalikkan', 'dgn', 'menggempur', 'jefry', 'an', 'ronde', 'keputusan', 'juri']","['simpel', 'aja', 'pukul', 'jefry', 'kuat', 'meng', 'ko', 'el', 'rumy', 'nya', 'el', 'rumy', 'ko', 'nya', 'el', 'rumy', 'ko', 'jefry', 'nichol', 'pukul', 'el', 'rumy', 'iya', 'jefry', 'nichol', 'ronde', 'pukul', 'el', 'rumy', 'ko', 'menang', 'sejati', 'ya', 'el', 'rumy', 'tahan', 'dlm', 'gempur', 'jefry', 'yg', 'brutal', 'mebalikkan', 'dgn', 'gempur', 'jefry', 'an', 'ronde', 'putus', 'juri']",simpel aja pukul jefry kuat meng ko el rumy nya el rumy ko nya el rumy ko jefry nichol pukul el rumy iya jefry nichol ronde pukul el rumy ko menang sejati ya el rumy tahan dlm gempur jefry yg brutal mebalikkan dgn gempur jefry an ronde putus juri
542,@makelarbatuakik9891,"Simpel aja sebenarnya,, pukulan Jefry memang sangat kuat dan hampir meng KO EL rumy di ronde2 awal,, tetapi pertanyaan nya EL Rumy KO atau tidak??? jawaban nya TIDAK,,, EL Rumy TIDAK KO... 😁 
Sebaliknya, Jefry nichol di ronde2 akhir dipukuli El rumy tidak??? IYA, Jefry nichol di ronde akhir dipukuli EL Rumy dan juga hampir KO,, jadi.. Pemenang sejati ya sangat tepat EL Rumy.. Dia mampu bertahan dlm gempuran Jefry yg brutal dan mampu mebalikkan keadaan dgn menggempur Jefry habis2 an di akhir ronde.. Keputusan tiga juri sudah sangat tepat.. 👍",Positif,"simpel aja sebenarnya,, pukulan jefry memang sangat kuat dan hampir meng ko el rumy di ronde2 awal,, tetapi pertanyaan nya el rumy ko atau tidak??? jawaban nya tidak,,, el rumy tidak ko... 😁 
sebaliknya, jefry nichol di ronde2 akhir dipukuli el rumy tidak??? iya, jefry nichol di ronde akhir dipukuli el rumy dan juga hampir ko,, jadi.. pemenang sejati ya sangat tepat el rumy.. dia mampu bertahan dlm gempuran jefry yg brutal dan mampu mebalikkan keadaan dgn menggempur jefry habis2 an di akhir ronde.. keputusan tiga juri sudah sangat tepat.. 👍","['simpel', 'aja', 'sebenarnya', ',', ',', 'pukulan', 'jefry', 'memang', 'sangat', 'kuat', 'dan', 'hampir', 'meng', 'ko', 'el', 'rumy', 'di', 'ronde2', 'awal', ',', ',', 'tetapi', 'pertanyaan', 'nya', 'el', 'rumy', 'ko', 'atau', 'tidak', '?', '?', '?', 'jawaban', 'nya', 'tidak', ',', ',', ',', 'el', 'rumy', 'tidak', 'ko', '...', '😁', 'sebaliknya', ',', 'jefry', 'nichol', 'di', 'ronde2', 'akhir', 'dipukuli', 'el', 'rumy', 'tidak', '?', '?', '?', 'iya', ',', 'jefry', 'nichol', 'di', 'ronde', 'akhir', 'dipukuli', 'el', 'rumy', 'dan', 'juga', 'hampir', 'ko', ',', ',', 'jadi', '..', 'pemenang', 'sejati', 'ya', 'sangat', 'tepat', 'el', 'rumy', '..', 'dia', 'mampu', 'bertahan', 'dlm', 'gempuran', 'jefry', 'yg', 'brutal', 'dan', 'mampu', 'mebalikkan', 'keadaan', 'dgn', 'menggempur', 'jefry', 'habis2', 'an', 'di', 'akhir', 'ronde', '..', 'keputusan', 'tiga', 'juri', 'sudah', 'sangat', 'tepat', '..', '👍']","['simpel', 'aja', 'pukulan', 'jefry', 'kuat', 'meng', 'ko', 'el', 'rumy', 'nya', 'el', 'rumy', 'ko', 'nya', 'el', 'rumy', 'ko', 'jefry', 'nichol', 'dipukuli', 'el', 'rumy', 'iya', 'jefry', 'nichol', 'ronde', 'dipukuli', 'el', 'rumy', 'ko', 'pemenang', 'sejati', 'ya', 'el', 'rumy', 'bertahan', 'dlm', 'gempuran', 'jefry', 'yg', 'brutal', 'mebalikkan', 'dgn', 'menggempur', 'jefry', 'an', 'ronde', 'keputusan', 'juri']","['simpel', 'aja', 'pukul', 'jefry', 'kuat', 'meng', 'ko', 'el', 'rumy', 'nya', 'el', 'rumy', 'ko', 'nya', 'el', 'rumy', 'ko', 'jefry', 'nichol', 'pukul', 'el', 'rumy', 'iya', 'jefry', 'nichol', 'ronde', 'pukul', 'el', 'rumy', 'ko', 'menang', 'sejati', 'ya', 'el', 'rumy', 'tahan', 'dlm', 'gempur', 'jefry', 'yg', 'brutal', 'mebalikkan', 'dgn', 'gempur', 'jefry', 'an', 'ronde', 'putus', 'juri']",simpel aja pukul jefry kuat meng ko el rumy nya el rumy ko nya el rumy ko jefry nichol pukul el rumy iya jefry nichol ronde pukul el rumy ko menang sejati ya el rumy tahan dlm gempur jefry yg brutal mebalikkan dgn gempur jefry an ronde putus juri
